----------mesures----------
2784
temps,X,Y
16.708333,227.717605,243.314567
16.750000,208.966067,241.570485
16.791667,192.464391,239.366553
16.833333,177.593980,236.907858
16.875000,165.391790,234.628506
16.916667,155.769707,232.660632
16.958333,148.781193,230.960092
17.000000,144.552420,229.785501
17.041667,142.592949,229.392170
17.083333,143.907919,229.586096
17.125000,147.265811,230.362741
17.166667,153.549451,231.997482
17.208333,162.514978,234.036359
17.250000,174.060050,236.250057
17.291667,188.136322,238.701052
17.333333,203.825859,240.917141
17.375000,221.999088,242.844014
17.416667,241.215835,244.232386
17.458333,262.446417,244.987131
17.500000,284.062007,244.867879
17.541667,306.403900,243.804984
17.583333,329.068552,241.674593
17.625000,351.149298,238.898128
17.666667,371.891458,235.385833
17.708333,391.251841,231.399550
17.750000,409.201175,227.022893
17.791667,424.817121,222.802096
17.833333,437.993388,218.976857
17.875000,448.656616,215.773190
17.916667,455.830160,213.126484
17.958333,461.688847,211.370009
18.000000,459.458224,211.949981
18.041667,454.119288,213.753558
18.083333,445.800687,216.558459
18.125000,433.929144,220.038006
18.166667,419.834719,223.948193
18.208333,402.925649,228.358576
18.250000,384.208451,232.435815
18.291667,363.831222,236.300572
18.333333,342.457018,239.609635
18.375000,320.135038,242.288884
18.416667,297.579060,243.930128
18.458333,275.616786,244.739102
18.500000,254.488248,244.477827
18.541667,234.446556,243.680680
18.583333,215.721046,242.304642
18.625000,198.978300,240.276673
18.666667,184.468279,237.989046
18.708333,172.163912,235.924931
18.750000,161.900739,233.712604
18.791667,154.344266,232.085780
18.833333,149.169712,230.873230
18.875000,146.674989,230.361200
18.916667,146.847782,230.356769
18.958333,149.809112,230.905011
19.000000,154.959954,232.157907
19.041667,162.770540,234.030640
19.083333,173.323670,236.045195
19.125000,186.036813,238.289113
19.166667,200.968268,240.428604
19.208333,218.025849,242.376264
19.250000,236.573987,243.629953
19.291667,256.540976,244.543406
19.333333,277.536121,244.540937
19.375000,298.973043,243.840435
19.416667,320.337110,242.201154
19.458333,342.062592,239.766590
19.500000,362.602081,236.574402
19.541667,382.132214,232.955587
19.583333,400.166263,229.278652
19.625000,415.971968,225.208946
19.666667,428.936654,221.454795
19.708333,439.923583,218.163861
19.750000,448.097076,215.766673
19.791667,453.025024,213.974594
19.833333,455.024547,213.342145
19.875000,454.032197,213.839962
19.916667,449.614270,215.375565
19.958333,442.226918,217.591852
20.000000,431.806483,220.842197
20.041667,418.333525,224.477618
20.083333,403.079803,228.443547
20.125000,385.345131,232.330534
20.166667,366.529786,235.912695
20.208333,345.930165,239.217149
20.250000,324.818373,241.926004
20.291667,303.417792,243.747696
20.333333,281.990798,244.502191
20.375000,261.456214,244.646174
20.416667,241.612534,244.185535
20.458333,223.768304,242.994088
20.500000,206.912560,241.285260
20.541667,192.440210,239.108854
20.583333,179.478748,236.984461
20.625000,169.084116,235.275957
20.666667,161.070228,233.421598
20.708333,155.213122,232.182840
20.750000,152.102330,231.497487
20.791667,151.398500,231.508525
20.833333,153.492977,231.776620
20.875000,157.904556,232.838497
20.916667,164.699932,234.464890
20.958333,174.327574,236.355535
21.000000,185.951545,238.232718
21.041667,199.832327,240.246367
21.083333,215.471870,242.193240
21.125000,233.458352,243.566592
21.166667,252.621185,244.310261
21.208333,272.489617,244.618142
21.250000,293.199700,244.037712
21.291667,314.250586,242.579015
21.333333,335.374499,240.284357
21.375000,355.470953,237.652884
21.416667,374.472353,234.134462
21.458333,392.075876,230.724925
21.500000,407.875720,226.971213
21.541667,421.502262,223.622467
21.583333,432.903384,220.473303
21.625000,441.368827,217.893133
21.666667,446.750000,216.190222
21.708333,449.535150,215.328253
21.750000,449.212086,215.713330
21.791667,445.523609,216.785892
21.833333,439.022788,218.721563
21.875000,429.772736,221.564669
21.916667,417.793404,224.748594
21.958333,403.561704,228.635549
22.000000,387.428283,232.389495
22.041667,368.961698,235.887785
22.083333,350.175286,239.123364
22.125000,329.700149,241.567142
22.166667,309.071888,243.724678
22.208333,288.508419,244.796195
22.250000,268.672295,245.161964
22.291667,249.534638,244.686460
22.333333,231.283538,243.712597
22.375000,214.847989,242.236537
22.416667,200.046150,240.619602
22.458333,187.392026,238.465545
22.500000,176.963135,236.544401
22.541667,168.040516,235.054098
22.583333,162.069179,233.870834
22.625000,158.303106,233.020557
22.666667,157.042019,232.580041
22.708333,158.166439,232.909732
22.750000,161.882674,233.884038
22.791667,167.938923,235.032680
22.833333,176.673207,236.646820
22.875000,187.171204,238.683465
22.916667,200.011364,240.401515
22.958333,214.895403,242.193427
23.000000,231.578077,243.522717
23.041667,250.002422,244.316230
23.083333,268.977538,244.580994
23.125000,288.640223,244.118353
23.166667,309.364194,242.856690
23.208333,329.559733,241.140351
23.250000,349.306177,238.668172
23.291667,367.993638,235.275190
23.333333,385.256635,232.127919
23.375000,401.233115,228.610022
23.416667,414.996269,225.371883
23.458333,426.051084,222.161184
23.500000,434.826264,219.796630
23.541667,441.038202,218.061740
23.583333,444.045236,217.099519
23.625000,444.327001,217.148532
23.666667,441.900774,217.989555
